# Fireworks Code (time | symbol | level)
00:00.441 | # | 5
00:00.731 | # | 5
00:01.010 | # | 5
00:01.300 | = | 3
00:01.579 | - | 2
00:01.858 | . | 0
00:02.426 | : | 1
00:02.705 | : | 1
00:02.856 | - | 2
00:02.995 | - | 2
00:03.135 | . | 0
00:03.274 | : | 1
00:03.564 | - | 2
00:03.843 | = | 3
00:04.122 | : | 1
00:04.690 | : | 1
00:04.969 | : | 1
00:05.120 | - | 2
00:05.259 | - | 2
00:05.399 | - | 2
00:05.538 | = | 3
00:05.817 | . | 0
00:06.107 | * | 4
00:06.385 | = | 3
00:06.676 | = | 3
00:06.954 | * | 4
00:07.233 | : | 1
00:07.512 | . | 0
00:07.802 | * | 4
00:08.081 | : | 1
00:08.371 | * | 4
00:08.649 | = | 3
00:08.928 | : | 1
00:09.218 | = | 3
00:09.358 | - | 2
00:09.636 | = | 3
00:09.776 | . | 0
00:10.077 | = | 3
00:10.356 | . | 0
00:10.635 | # | 5
00:11.192 | - | 2
00:11.761 | * | 4
00:12.330 | # | 5
00:12.608 | . | 0
00:12.759 | . | 0
00:13.038 | . | 0
00:13.177 | : | 1
00:13.468 | . | 0
00:13.746 | * | 4
00:14.025 | : | 1
00:14.303 | . | 0
00:14.594 | # | 5
00:15.151 | . | 0
00:15.720 | - | 2
00:16.289 | - | 2
00:16.579 | * | 4
00:16.858 | - | 2
00:17.705 | . | 0
00:17.995 | * | 4
00:18.843 | : | 1
00:19.122 | = | 3
00:19.400 | . | 0
00:19.691 | = | 3
00:19.969 | = | 3
00:20.259 | . | 0
00:20.538 | = | 3
00:20.817 | : | 1
00:21.095 | . | 0
00:21.386 | - | 2
00:21.664 | : | 1
00:21.954 | = | 3
00:22.233 | - | 2
00:22.512 | . | 0
00:22.802 | - | 2
00:22.941 | . | 0
00:23.220 | . | 0
00:23.371 | : | 1
00:23.650 | . | 0
00:24.218 | - | 2
00:24.509 | - | 2
00:24.776 | . | 0
00:25.066 | . | 0
00:25.345 | . | 0
00:25.635 | - | 2
00:25.913 | - | 2
00:26.482 | . | 0
00:26.761 | . | 0
00:27.330 | # | 5
00:27.609 | - | 2
00:27.899 | # | 5
00:28.177 | * | 4
00:28.746 | = | 3
00:29.025 | : | 1
00:29.164 | . | 0
00:29.327 | . | 0
00:29.455 | - | 2
00:29.594 | . | 0
00:29.872 | : | 1
00:30.151 | . | 0
00:30.441 | = | 3
00:30.720 | . | 0
00:30.999 | . | 0
00:31.289 | . | 0
00:31.440 | = | 3
00:31.591 | . | 0
00:31.718 | * | 4
00:31.858 | . | 0
00:32.136 | : | 1
00:32.427 | = | 3
00:32.705 | - | 2
00:33.274 | = | 3
00:33.831 | : | 1
00:34.122 | - | 2
00:34.400 | . | 0
00:34.691 | - | 2
00:34.981 | : | 1
00:35.260 | . | 0
00:35.538 | . | 0
00:36.107 | # | 5
00:36.386 | # | 5
00:36.664 | . | 0
00:36.955 | * | 4
00:37.233 | * | 4
00:37.802 | # | 5
00:38.081 | : | 1
00:38.220 | . | 0
00:38.371 | . | 0
00:38.510 | : | 1
00:38.650 | : | 1
00:38.928 | . | 0
00:39.219 | - | 2
00:39.497 | = | 3
00:39.787 | # | 5
00:40.066 | - | 2
00:40.345 | . | 0
00:40.496 | - | 2
00:40.647 | . | 0
00:40.774 | * | 4
00:40.914 | : | 1
00:41.192 | : | 1
00:41.482 | : | 1
00:41.761 | = | 3
00:42.330 | * | 4
00:42.899 | # | 5
00:43.178 | . | 0
00:43.456 | : | 1
00:43.746 | : | 1
00:44.037 | : | 1
00:44.315 | . | 0
00:44.594 | . | 0
00:44.884 | - | 2
00:45.441 | # | 5
00:45.720 | - | 2
00:46.010 | # | 5
00:46.289 | # | 5
00:46.858 | * | 4
00:47.427 | # | 5
00:47.705 | . | 0
00:47.984 | . | 0
00:48.274 | - | 2
00:48.565 | : | 1
00:48.843 | - | 2
00:48.982 | . | 0
00:49.122 | : | 1
00:49.261 | . | 0
00:49.400 | : | 1
00:49.540 | : | 1
00:49.702 | . | 0
00:49.969 | : | 1
00:50.248 | . | 0
00:50.399 | . | 0
00:50.538 | . | 0
00:50.678 | . | 0
00:50.817 | . | 0
00:51.386 | # | 5
00:51.955 | # | 5
00:52.233 | : | 1
00:52.524 | - | 2
00:52.802 | - | 2
00:53.092 | - | 2
00:53.371 | - | 2
00:53.510 | : | 1
00:53.650 | - | 2
00:53.789 | . | 0
00:53.940 | = | 3
00:54.079 | - | 2
00:54.219 | - | 2
00:54.358 | - | 2
00:54.497 | . | 0
00:54.637 | . | 0
00:54.787 | : | 1
00:54.927 | . | 0
00:55.078 | . | 0
00:55.217 | : | 1
00:55.356 | = | 3
00:55.914 | - | 2
00:56.483 | # | 5
00:56.761 | . | 0
00:57.040 | . | 0
00:57.330 | : | 1
00:57.620 | : | 1
00:57.899 | - | 2
00:58.038 | - | 2
00:58.178 | : | 1
00:58.329 | - | 2
00:58.456 | . | 0
00:58.607 | : | 1
00:58.758 | . | 0
00:59.025 | . | 0
00:59.304 | . | 0
00:59.594 | = | 3
00:59.873 | - | 2
01:00.163 | : | 1
01:00.442 | = | 3
01:00.732 | = | 3
01:00.871 | = | 3
01:01.022 | . | 0
01:01.289 | . | 0
01:01.579 | # | 5
01:01.858 | - | 2
01:02.137 | : | 1
01:02.427 | = | 3
01:02.705 | - | 2
01:02.984 | : | 1
01:03.274 | : | 1
01:03.553 | . | 0
01:03.843 | - | 2
01:04.122 | - | 2
01:04.401 | : | 1
01:04.981 | . | 0
01:05.260 | : | 1
01:05.817 | - | 2
01:06.096 | . | 0
01:06.247 | - | 2
01:06.386 | = | 3
01:06.525 | . | 0
01:06.664 | . | 0
01:06.955 | : | 1
01:07.233 | - | 2
01:07.524 | : | 1
01:08.081 | - | 2
01:08.371 | # | 5
01:08.510 | - | 2
01:08.650 | = | 3
01:08.789 | : | 1
01:08.928 | . | 0
01:09.219 | : | 1
01:09.497 | - | 2
01:09.776 | . | 0
01:10.345 | - | 2
01:10.623 | . | 0
01:10.774 | # | 5
01:10.914 | = | 3
01:11.053 | - | 2
01:11.192 | . | 0
01:11.483 | : | 1
01:11.761 | : | 1
01:12.040 | . | 0
01:12.330 | * | 4
01:12.609 | - | 2
01:12.887 | . | 0
01:13.178 | # | 5
01:13.456 | = | 3
01:13.747 | = | 3
01:14.025 | : | 1
01:14.304 | . | 0
01:14.594 | * | 4
01:14.873 | : | 1
01:15.024 | = | 3
01:15.302 | # | 5
01:15.442 | - | 2
01:15.720 | : | 1
01:16.289 | - | 2
01:16.579 | . | 0
01:16.858 | # | 5
01:17.427 | * | 4
01:17.984 | : | 1
01:18.274 | . | 0
01:18.414 | . | 0
01:18.692 | . | 0
01:18.843 | # | 5
01:19.122 | . | 0
01:19.401 | . | 0
01:19.691 | # | 5
01:19.970 | - | 2
01:20.248 | : | 1
01:20.817 | - | 2
01:21.386 | # | 5
01:21.955 | # | 5
01:22.233 | - | 2
01:22.512 | : | 1
01:22.942 | : | 1
01:23.360 | . | 0
01:23.650 | = | 3
01:24.219 | = | 3
01:24.497 | - | 2
01:24.776 | : | 1
01:25.066 | : | 1
01:25.345 | . | 0
01:25.635 | # | 5
01:25.925 | . | 0
01:26.192 | . | 0
01:26.483 | * | 4
01:26.761 | - | 2
01:27.052 | * | 4
01:27.330 | * | 4
01:27.609 | . | 0
01:27.899 | * | 4
01:28.178 | = | 3
01:28.456 | . | 0
01:28.596 | . | 0
01:28.886 | : | 1
01:29.025 | . | 0
01:29.316 | = | 3
01:29.873 | . | 0
01:30.163 | # | 5
01:30.442 | - | 2
01:30.720 | . | 0
01:31.011 | - | 2
01:31.289 | . | 0
01:31.580 | - | 2
01:31.870 | . | 0
01:32.148 | . | 0
01:32.427 | : | 1
01:32.984 | * | 4
01:33.275 | # | 5
01:33.553 | = | 3
01:33.832 | : | 1
01:34.401 | : | 1
01:34.691 | # | 5
01:34.830 | - | 2
01:34.981 | . | 0
01:35.109 | . | 0
01:35.260 | - | 2
01:35.539 | = | 3
01:35.817 | . | 0
01:36.096 | . | 0
01:36.386 | * | 4
01:36.665 | : | 1
01:36.955 | = | 3
01:37.094 | : | 1
01:37.245 | : | 1
01:37.373 | . | 0
01:37.524 | - | 2
01:37.802 | = | 3
01:38.081 | : | 1
01:38.371 | # | 5
01:38.929 | . | 0
01:39.498 | = | 3
01:39.788 | = | 3
01:40.066 | . | 0
01:40.345 | . | 0
01:40.635 | . | 0
01:40.914 | . | 0
01:41.204 | : | 1
01:41.761 | # | 5
01:42.040 | . | 0
01:42.330 | * | 4
01:42.609 | . | 0
01:42.899 | # | 5
01:43.457 | . | 0
01:43.747 | * | 4
01:43.886 | - | 2
01:44.037 | - | 2
01:44.176 | - | 2
01:44.316 | - | 2
01:44.594 | = | 3
01:44.873 | : | 1
01:45.163 | = | 3
01:45.442 | = | 3
01:45.720 | : | 1
01:46.011 | = | 3
01:46.150 | : | 1
01:46.301 | : | 1
01:46.440 | = | 3
01:46.580 | = | 3
01:46.858 | * | 4
01:47.137 | . | 0
01:47.427 | # | 5
01:47.984 | : | 1
01:48.553 | = | 3
01:48.844 | - | 2
01:49.122 | * | 4
01:49.401 | : | 1
01:49.691 | : | 1
01:49.970 | . | 0
01:50.260 | : | 1
01:50.539 | - | 2
01:51.386 | # | 5
01:56.947 | . | 0
01:58.898 | # | 5
